question_description,Classes,Tag1,Tag2
i am 18 year old my height is 4.0 inch how i can get good height,Height,height,height
how can teeth problem Slovenia?,Dental,teeth,teeth
how to increase my health??please tell me??,General Problems,health,health
i am 18 year old. my height 5.6 . i want change my height .please help me.,Height,height,height
"how to increase my height ?
my age is 19 and my height is 5'4""",Height,height,height
Hello My Name is Uvais Alitha my How to lose my weight,Weight Loss,lose,weight
"how to maintain fitness our body
",Gym,fitness,fitness
i am 17 year old and my weight is 40kg i want to increase my weight,Weight Gain,increase,weight
i am 17 my weight is 50kg i want to gain weight .?,Weight Gain,gain,weight
i m 22 years old i got back pain,Body Pain,back,pain
"I am 18 year old ,my hight is 5'9"" how to get good hight?",Height,hight,hight
"sir my age is 15 my weight is 35 what I do to grain my weight 
",Weight Gain,grain,weight
sir my age is 17 my weight is 35 kg tell me what to do to grow my weight ,Weight Gain,grow,weight
"I am 22 years old but my height  is only 5'3"".
Tell me some helpful idea to increase my height in right way.
          Please",Height,height,height
my age is 18 but i have a pimples problem,Skin,pimples,pimples
which problems causes cancer ?,Operation,cancer,cancer
"Right side pain of Abdomen when i run, why? ","Stomach, Kidney and Liver",abdomen,abdomen
my age is 25. how can I loose my belly fat?,Weight Loss,loose,fat
how to gain weight IF IAM 17 YEAR OLD ,Weight Gain,gain,weight
how to solve this problem for headaches ,Headache,headaches,headache
my age is 19years but height is 5'3 so how is increase the height,Height,increase,height
Panderm plus cream is harmful for face? ,Skin,cream,face
My weight is 50 should I loose it How to loose weight ,Weight Loss,loose,weight
how to control the kaff within short period,Sexual Problem,period,period
What is the effect of smoking ,Lungs and Smoking,smoking,smoking
What precaution should be taken after 3 years of Gall Stone operation,"Stomach, Kidney and Liver",stone,stone
how many weeks for last stage of sorioesis,Operation,stage,stage
"my hair has been fully covered with dandruff,so what precautions did I take for cure.
",Hair Treatment,hair,dandruff
how to loose weight by diet?what to eat and when?,Weight Loss,loose,weight
how can I get 10kg weight in a week?,Weight Gain,get,weight
"my weight is 75kg so what should i prefer to lose it
",Weight Loss,weight,lose
how much I need to drink water if my weight is 60kg??,General Problems,drink,water
my hairs are becoming white and I have hair fall please give me some tips to overcome this problem,Hair Treatment,hairs,white
explain the method grow mussels ,Gym,grow,mussels
how to increase my eye sight naturally at home,Eyes,eye,sight
explain the way to grow muscles,Gym,grow,muscles
How to make body active and aware? ,General Problems,active,active
how to reduce hair fall with home remedies???,Hair Treatment,hair,fall
Felling tensed... what I should do? ,Stress and Anxiety,tensed,tensed
how to reduce the calf from home redies?,General Problems,general,vomiting
Feeling like vomiting...what i should do? ,General Problems,vomiting,vomiting
what is the best thing to protect against bacteria,General Problems,bacteria,bacteria
How to make our face glow by eating different food?,Skin,face,glow
How to build muscles with vegetarian food?,Gym,build,muscles
which important fact of fitness,Gym,fitness,fitness
What to eat to build muscles ?,Gym,build,muscles
Way should we need to drink when we are thirsty ,General Problems,drink,drink
How much nuts we should eat daily ,Diet and Food,eat,eat
How much water we need to drink daily,General Problems,water,drink
How we can get good nutrition from raw vegetables ,Diet and Food,nutrition,nutrition
Is it ok if i drink black coffee daily 2 times ,Diet and Food,drink,drink
"What is the most rich of zinc foods
",Diet and Food,rich,foods
how to decrease hair fall quickly?,Hair Treatment,hair,fall
How to maintenan a good health,General Problems,maintenan,health
how I can gain weight? what is diet for this?,Weight Gain,gain,weight
how to get good eye sight naturally,Eyes,eye,sight
How to increase hieght after 18 years?,Height,height,height
Is drinkinf water after eating food harmful??,Diet and Food,eating,food
how to decrease hair fall quickly ?,Hair Treatment,hair,fall
why jogging is more important than food?,Gym,jogging,jogging
How to get rid of falling hair,Hair Treatment,falling,hair
how to decrease your weight without going to  gym?????,Weight Loss,decrease,weight
How to maintain a good physique ?,Gym,physique,physique
"How to loose weight at home, without going to gym ?",Weight Loss,loose,weight
why sleep is more important than food?,General Problems,sleep,sleep
what is medicine for blood cancer?,Operation,cancer,cancer
"how to loose fat in over body
",Weight Loss,loose,fat
how to loss weight without going gym?,Weight Loss,loss,weight
how can teeth problem Slovenia?,Dental,teeth,teeth
how to remove the dandruff hair,Hair Treatment,dandruff,hair
what are the preventions the ulcer,"Stomach, Kidney and Liver",ulcer,ulcer
"I have pain in my left ankle from a long time, what to do?",Body Pain,pain,pain
how to reduces my weight after pragnancy?,Sexual Problem,pregnancy,pregnancy
I have a problem of back pain.,Body Pain,back,pain
my question is what can I do for fitness ?,Gym,fitness,fitness
How can we stop hair falling?? ,Hair Treatment,hair,falling
what are the preventions for ulcers.?????,Dental,ulcer,ulcer
how to stop hair fall problem and dendruf,Hair Treatment,dendruf,hair
teeth problem what I do ??? suggest me,Dental,teeth,teeth
#eyes_weekness #give_suggestion?,Eyes,eyes,eyes
How to grow dense beard on  face of teenage.? ,Hair Treatment,beard,beard
"white  hair problem 
please  tell 
perfect diting",Hair Treatment,white,hair
"i want loss weight can u help me with the diet?


",Weight Loss,loss,weight
having headache during daytimes,Headache,headache,headache
"My hairs are falling,how to stop my hairfall",Hair Treatment,hair,hairfall
what is the way to increase the height?,Height,increase,height
"what we do we have suffering from headache
",Headache,headache,headache
may hair to falling.how to stop hair fall,Hair Treatment,hair,fall
my hair is falling so badly.....,Hair Treatment,hair,hair
l am getting harted by regular headache on the back side of head,Headache,headache,head
My hair is falling so badly...,Hair Treatment,hair,falling
I get irritation in hair and also some boils are there on my head,Hair Treatment,head,hair
how can we protect our face against pimples?,Skin,face,pimples
Always happen Gas in stomach. plz tell me and suggested any medicine for this problem ,"Stomach, Kidney and Liver",gas,stomach
how can I increase the power of my muscles and increase my weight... I am 18 years old,Weight Gain,increase,weight
my eyesight is so weak so what I have to eat properly for it.,Eyes,eyesight,eyesight
mouth bloold runing to five moths before what solution,Blood Related,blood,blood
How can i increase my brain power,General Problems,power,power
i am 23 years old male How to strong my liver ?,"Stomach, Kidney and Liver",liver,liver
how  can i increase my height ?,Height,increase,height
"how to increase height after 19

",Height,height,increase
What should i eat to get protein? ,Diet and Food,eat,protein
How do we remove dark circles on skin,Skin,dark,skin
what is the healthy foods to gain weight,Weight Gain,gain,weight
weight loess why problems and solution ,Weight Loss,weight,loss
How can increase my thinking ? ,Stress and Anxiety,thinking,thinking
How do I avoid hair fall? Suggest some tips ,Hair Treatment,hair,fall
How do I lose weight? Suggest some healthy tips ,Weight Loss,lose,weight
"how i supposed to be gain weight healthy?
",Weight Gain,gain,weight
how can teeth problem Slovenia?,Dental,teeth,teeth
how do I lose belly fat fast?????,Weight Loss,lose,fat
how to get rid of hair permanently on forehead,Hair Treatment,hair,hair
Benefits of green tea in hormonal imbalance,Diet and Food,tea,tea
how to moisturize oily pimple skin? ,Skin,pimple,skin
What i do for removing my glass ? ,Eyes,glass,glass
what exercises should I do to grow height?,Height,height,height
what is the side effect of handjob,Sexual Problem,handjob,handjob
which vaccine is contraindicated in  pregnancy?,Sexual Problem,pregnancy,pregnancy
how to become as youth as the age grows,General Problems,age,age
how we remove a dark circles on a eye?,Eyes,eye,eye
 what are the symptoms for common cold ,Cold,cold,cold
I want to gain weight what will I do for this,Weight Gain,gain,weight
What should  I Eat For diate? ,Diet and Food,eat,eat
what makes my voice is listenable ?,"Ear, Nose and Throat",speech,voice
what should I eat to get protein,Diet and Food,eat,protein
what is the healthy food? tell me ,Diet and Food,food,food
How can I get muscles ? tell me,Gym,muscles,muscles
how can I increase my height and lose weight,Weight Loss,lose,weight
How can i get muscle and height?,Height,height,height
sir I am in fabrication works if welding will cause you my eye ,Eyes,eye,eye
how can teeth problem solve?pls tell me.,Dental,teeth,teeth
Who can be meantian our health ,General Problems,health,health
"how can remove the ""anelu"" on foot",Operation,operate,remove
what is a good diet to gain height?,Height,height,height
which is best food to grow muscle,Gym,muscle,muscles
what eat daily for good health?,Diet and Food,eat,eat
How can I get out of groin pain?,Body Pain,pain,pain
How can I get muscles and height ,Gym,muscles,muscles
how i get more protein by daily foods,Diet and Food,protein,food
how to increase my weight can u give me the suggestion??,Weight Gain,increase,weight
can use of lemon water every morning reduce weight?,Weight Loss,reduce,weight
My BP is very high and increase,Blood Related,BP,blood
What we do for increasing stamina,Gym,stamina,stamina
dick ka size kaise bada kare  18 saal kai baad 9inch tak bada karne ka,Sexual Problem,dick,dick
how to increase hight after 18,Height,height,height
dig ki height increase kese mare after 18 year,Height,height,height
how to increase body weight &mass,Weight Gain,increase,weight
"I have recover d from scrutiny swelling 4 month ago but again am finding it's same problem, wt to do?
",Body Pain,swelling,swelling
"how to increase weigh and body mass?
",Weight Gain,increase,mass
Thyroid problem from one month,"Ear, Nose and Throat",thyroid,thyroid
Height increase kase kare after 19 years age ,Height,height,height
How do we can remove our spects ?,Eyes,spects,glass
Tell me proper diet for diebetes patience,Diabetes,diabetes,diabetes
"chehre par black spot hobgya hai dono taraf thik ni hota 
",Skin,spot,spot
what should I do gain weight??,Weight Gain,gain,weight
"how can fit body in one month tell about this question
",Gym,fitness,body
having cough for many days...will it lead to any big disease?,Cold,cough,cough
does overweight causes disease,General Problems,overweight,overweight
how do I know that i have a migraine problem,Headache,migraine,migraine
does over weight  causes  disease ,General Problems,over,disease
what is the reason of liver damage?,"Stomach, Kidney and Liver",liver,liver
Hello sir I am jintu and I am 18 years old. I need to  increase my weight. How can I prepare for that,Weight Gain,increase,weight
what are the benefits if I does the morning walk,General Problems,benefit,morning
which nutrition diet shoiluld be taken under diabetes?,Diabetes,diabetes,diabetes
"how we get physically fit?and stress realeser?
",Stress and Anxiety,stress,stress
"hi doctor's, I have typhoid my Widal test report is positive,dr prescribed me 15 days medication: paracetamol 500/cefx-O-Azy tablets two times  and a capsule once in the mid day is Protocol(vitamin,minerals,antioxident)
pls advise if it is ok to take paracetamol 500 two times/isn't too much dose or  is it ok to take  with  antibiotic or after some time gap or also should I take papaya leaf juice or papaya seeds during my 15 days medication,pls suggest as I am feeling something eating me from inside,so scared","Ear, Nose and Throat",typhoid,typhoid
can you dring 10 litter a day relly,General Problems,drink,litre
what is arthritis?how can it be cured,"Ear, Nose and Throat",arthritis,arthritis
how remove in face how remove in face pempuls  ,Skin,face,face
"how to remove pimples in your face
",Skin,pimples,pimples
how to get rid of dark circle and lower level of eyes,Eyes,eyes,eyes
which problem to causes cancel ?,Operation,cancer,cancer
In which process hight of my body increaseases? ,Height,height,height
How do make a strong body ¿?? ,Gym,strong,body
how we can remove skin problem,Skin,skin,skin
what are the problems from pollution.??and how to manage.?,General Problems,pollution,pollution
which exercises and which food makes the bones strong.?,Gym,exercises,strong
what will happen when we eat junk food with empty stomach.?,"Stomach, Kidney and Liver",stomach,stomach
Which is a better way to be fit Yoga or gym workout? ,Gym,yoga,workout
Que : How to increase the Health???,General Problems,health,health
suffering from high depression. What should i do to minimise it??,Stress and Anxiety,depression,depression
Please give me advice for loose the weight,Weight Loss,loose,weight
I am suffering with hair lose problem.please give me any suggestions for hair gain .,Hair Treatment,hair,hair
what is the cost for teeth implantation ,Dental,teeth,teeth
"Hi,  I'm 30 year's old and suddenly my  beard turn into white,  I went to safadarjung hospital for cure but doctor said no cure for this type of cases,  Plz anybody tell me it is true,  or plz advise what should I have to do. ",Hair Treatment,beard,white
"how I can improve my fitness? 
",Gym,fitness,fitness
which is best viagra no side effect ?,Sexual Problem,viagra,viagra
How to increase the size of bicep???? ,Gym,bicep,bicep
Wat is the best cure for acidity? ,"Stomach, Kidney and Liver",acidity,acidity
what is health develop of the way,General Problems,health,health
is mastribation good or bad?? plz insure me ,Sexual Problem,masturbation,masturbation
can i lose weight in a month through yoga?,Weight Loss,lose,weight
how to remove black till on nose?,"Ear, Nose and Throat",nose,nose
How to remove pimples in a face,Skin,pimples,pimples
how to get a six pack abs using medicine.,Gym,abs,abs
what is the best toothpaste which is useful and good to relief it if i have sensitivity in my teeth,Dental,toothpaste,toothpaste
how to remove dark circle.. in near of eyes,Eyes,eyes,eyes
how to get white face without pimples,Skin,face,pimples
How to get rid of pimple pores?? ,Skin,pimple,pores
penis not erect easily and loose soon.. ,Sexual Problem,penis,penis
I am not satisfied with my current penis size and I want to increase it's length by 1 or 2 inches. Can you tell me some steps and measurements or some exercise or diet for that ?,Sexual Problem,penis,penis
I WANT TO GROW MY PENIS 1 OR MAYBE 2 INCHES MORE LONGER. PLEASE TELL A WAY FOR THAT. ,Sexual Problem,penis,penis
how to remove dead skin in my face ,Skin,skin,face
how much we pay for 1 unit blood. and thats why??,Blood Related,blood,blood
HOW TO GROW BEARD AND MUSTACHE FASTER NATURALLY ?,Hair Treatment,beard,mustache
HOW TO GET THICKER CUM NATURALLY DURING EJACULATION ?,Sexual Problem,ejaculation,ejaculation
How to get 1 inch longer penis in one month ? Natural and home remedies please ????,Sexual Problem,penis,penis
smoking weed a good time to do with you are my options to settle down a bit,Lungs and Smoking,amoking,weed
How to get rid of acnes in one or two days for an event ?,Skin,acnes,acnes
I am a boy of loose confidence and narrow minded . I kept in tension many a times in  the daily routine. how keep ourself with full of confidence ?  pls help me .,Stress and Anxiety,confidence,confidence
integral period in one month two time.why?,Sexual Problem,period,period
why gym is not for lean people?,Gym,gym,gym
How to keep proper Healthy Face ?,General Problems,healthy,healthy
How to get rid of dandruff.In home,Hair Treatment,dandruff,dandruff
how did i glow my skin color back to white ,Skin,glow,skin
How to recover acne or pimple holes on the cheeks???? ,Skin,acnes,pimple
How to fade away the acne or pimple scars?? ,Skin,acne,scars
how to get skinny to lean figure? ,Weight Loss,lean,lean
How to remove stitches mark on face?? ,Skin,face,face
what is naru disease?? how can it be ,General Problems,disease,disease
How to gain weight without eating meat?,Weight Gain,gain,weight
"I have a skin problems with red worm and itching since 2 years .. I used some cream named penderm , ring worm but these are not effective... kindly sujjest me.. what can I doo ",Skin,skin,cream
 how to maintance the bread growth,Hair Treatment,bread,bread
"I'm very thin 
?which diet use of me",Weight Loss,thin,thin
Taking measure for avoid gas problems. Please provide me some solutions.,"Stomach, Kidney and Liver",gas,gas
what is the way by which we can purify our blood??,Blood Related,blood,blood
What type of exercises burn my fat in a month?,Gym,exercises,exercises
My hair is very dry. And hair fall problem ,Hair Treatment,hair,fall
why my hands become dark during winter?,Skin,dark,dark
"my hair root is too weak . that's why hair breaks down ..

what should I do ?
",Hair Treatment,hair,hair
"i am suffering from skin disease 1month ago in my skin of legs get black black spots tell me some answers 
",Skin,skin,skin
which time for exercise is better either morning or evening,Gym,exercises,exercise
what can we do teeth is paining,Dental,teeth,teeth
how to lose weight while staying at hostel...,Weight Loss,lose,weight
how to get white skin forever?,Skin,white,skin
why the plant have green leaves,General Problems,general,general
How can we get rid of rough skin??,Skin,skin,skin
sir I have some mental problems ,Headache,mental,mental
"What is best protein froots. 
Pls. Name. ",Gym,protein,protein
"sir I m in dipreson .So what I can do at this situation
",Stress and Anxiety,depression,depression
"i am 21 year's old and my weight is only 40 kg. i am too much thin. how to increase my weight. please tell me if anyone have a bunch of knowledge about it. once again , PLEASE.",Weight Gain,thin,increase
I am having several acne and pimples on my face.how can I remove them.,Skin,acne,pimples
I am feeling low blood pressure since one year. please prescribe me some medicine.,Blood Related,blood,pressure
"is masturbation cause of hair fall?
",Sexual Problem,masturbation,masturbation
I want to wash my ear myself.. what is the suitable process? please tell me Doctor sir.,"Ear, Nose and Throat",ear,ear
I want to loose my belly fat??,Weight Loss,loose,belly
what can we do when teeth is paining,Dental,teeth,teeth
how to increase fast body weight???,Weight Gain,weight,gain
how to increase the body weight,Weight Gain,gain,weight
My child is of 12years and it does not speak clear we had given it many medical treatments,General Problems,child,child
my hieght is very less.I want to increase my hieght,Height,height,height
I want to grow my health what con I do,General Problems,health,health
my problem is I am sufring from hair loss very loss pleas suggest to me how to grow my hair ,Hair Treatment,hair,hair
iam 22 years old i have heavy hair fall problem... please make me some suggestions,Hair Treatment,hair,fall
how to increase the body weight,Weight Gain,increase,weight
I have getting teeth pain while  I am taking food it pains every time daily please help me how to solved ,Dental,teeth,teeth
what food should be taken for being healthy?,Diet and Food,food,food
i am having eye problem my eyesite is weak i am wearing spex but now with spex I am not able to see clear pz give solution any medicine or drop,Eyes,eye,eyesight
i have skin problem since 9 months. my skin is itching so much. im very disturbed from it. i cant able to sleep whole night because of itching. ,Skin,skin,skin
I have hairfall. my scalp is oily. what should I do.,Hair Treatment,hairfall,hairfall
I am having left arm ache since 6 months. please help me to avoid this ache.,Body Pain,ache,ache
"how to remove dandruff????
????????????????????????",Hair Treatment,dandruff,dandruff
my hairs are light how I can make them thicker ,Hair Treatment,hairs,hairs
I am vary weak and thin. How can I be fat and make my fitness? ,Gym,fitness,fitness
my mother age 47 years old and how to loose fat weight is 85 kg,Weight Loss,loose,fat
What are importance of exercise ?,Gym,exercises,exercise
how to get rid from blackheads of face,Skin,face,face
I have tail bone pain??? how to cure,Body Pain,pain,pain
daibitig k liye kya side affects h,General Problems,side,effects
what is reproduction of sexual,Sexual Problem,sexual,sexual
I am 20 years old and I get hair fall from my forehead side .please i need advice to stop my hair fall.,Hair Treatment,hair,fall
How to maintain fitness of body ?,Gym,fitness,fitness
"best cream to remove scars and spots from face...
",Skin,cream,cream
Mera vajan bahoot kam hai mera diet plan kua hona chahiye,Diet and Food,diet,diet
sir i have got pimples on my face and they automatically disappears and then again they got on my face,Skin,pimples,pimples
I am 15 years old and my hairs are white what is the reason and how to do black hair,Hair Treatment,hairs,hairs
how i can increases my stamina ,gym,stamina,stamina
getting snoring during sleep.... what is the solution,General Problems,sleep,sleep
how to loose fat and fit myself,Weight Loss,loose,fat
how can I do white under my eye,Eyes,eye,eye
"I am suffering from cold, body pains ",Cold,cold,cold
how to clean face from pimples??,Skin,face,pimples
How get recover holes caused due to acne or pimples??? ,Skin,acne,pimples
Wat do to lighten acne scars..... ,Skin,acne,scars
how want to control the sugar ,Diabetes,sugar,sugar
if a person take English medicine nd suddenly he take ayurvedic medicine... it's is side effects from it?? ,General Problems,ayurvedic,ayurvedic
can premature grey hair be cured?,Hair Treatment,grey,hair
can premature grey hair be cured?,Hair Treatment,grey,hair
I am 21.. Still I have a very little hair in my face (barely visible).. But under daylight I can see their presence.. How to stimulate the growth of my facial hair? ,Hair Treatment,hair,hair
what should i do for fitness and and what type of food i eat ,Diet and Food,food,eat
I have a fever...what I want to do,Cold,fever,fever
Reduce belly how they to reflect that ,Weight Loss,reduce,belly
right side kidney 2 pathri  3mm or 3.5 mm ki nikalenge k leyee advice dejeyee.,"Stomach, Kidney and Liver",kidney,stone
what is the helath develop way,General Problems,health,health
Who is the India biggest hospital ,General Problems,hospital,hospital
Mere face pr pimples he us ko kse hataee,Skin,face,pimples
Which food can make me fat....? ,Diet and Food,food,food
what are the best ways or treatment for hair loss?,Hair Treatment,hair,hair
What is the use of this app and can i use for our body fitness,Gym,fitness,fitness
I am feeling very stressed how can I overcome from this problem please help me... ,Stress and Anxiety,stressed,stressed
what type of food we taken during pregnancy ,Sexual Problem,pregnancy,pregnancy
how can i increase my strength ?,Gym,strength,strength
how can I remove my tooth plaque at home?,Dental,tooth,tooth
I want solution for Fit Body.?,Gym,fitness,fitness
How can increase my stamina?,Gym,stamina,stamina
my mind is very loos.... how can growth my mind power,Stress and Anxiety,mind power,mind
how to lose my fat? how to get my great personality?,Weight Loss,lose,fat
how much water should we drink daily?,General Problems,water,drink
what can I do for reducing body fat ??,Weight Loss,reducing ,fat
My teeth not white how can my teeth white ,Dental,teeth,gums
How i can increases my stamina ,Gym,stamina,stamina
How to exercise for good health ,Gym,exercises,exercise
How can i my reduce belly fat?,Weight Loss,reduce,belly
how to grow height at the age of 19 for girls naturally?,Height,height,height
what should we do during backpain?,Body Pain,back,pain
what we need to glow our skin ,Skin,glow,glow
"a dark crkle on the my face what's a sillusion 
",Skin,dark,dark
There are some small dark spot on my eye side. What is the solution?? ,Eyes,eye,eye
what are the healthy foods for diabetics patient,Diabetes,diabetics,diabetics
heart disease me bare me bataei,General Problems,disease,disease
how can i loose my weight fast,Weight Loss,loose,weight
"My friend have many pimples on her face and she take many doctors advice but not get any impressive result, so help me for cure her skin?",Skin,pimples,face
 my hair loss rapidly  what's treatment you says,Hair Treatment,hair,hair
sir I have  gas problem.....so which medicine I will take,"Stomach, Kidney and Liver",gas,gas
"black spot nd blackness in my mouth 
wht I do",Skin,spot,spot
"how I improve my health ?my health begins to fatty 
",General Problems,health,health
dark circles below my eyes. what to do,Eyes,eyes,eyes
What are the best foods to burn belly fat?,Diet and Food,foods,foods
acne reason of uper neck below the ears area? ,Skin,acne,acnes
sir i have going to make my body fit can you give me some advise please,Gym,body,fit
why what reason hairfall occur,Hair Treatment,hair,fall
"sir, if heavily do exercises there is any problem?",Gym,exercises,exercise
I want to gain my weight. Please help me.. ,Weight Gain,gain,weight
how can I deny my mastubration,Sexual Problem,masturbation,masturbation
I want to increase my height and you tell me the ways which are useful to increase height?,Height,height,height
sir I am frequently suffering from headache is there any  medicine,Headache,headache,headache
my best yoga is a lovely anulom bilom,Gym,yoga,yoga
i had two femur surgeries for my right leg in gap of 2 months and leg became week and after 2months later of my second surgery now will sciatica pain  effects.,Critical,Surgery,surgery
what we need to glove our skin,Skin,skin,skin
i have a backache while bending.so i am not able to bend down.please suggest.,Body Pain,back,backache
how can i gain my weight with proper diat,Weight Gain,gain,weight
how to get fatty without proper diet,Diet and Food,diet,diet
every week I get mouth aulsors ,Dental,mouth,ulcer
how can I get a dandruff free healthy scalp?,Hair Treatment,dandruff,dandruff
how can I lose weight without excess work out?,Weight Loss,lose,weight
health barrage keep like kya kiya jay,General Problems,health,health
"how to increase the hair growth
",Hair Treatment,hair,growth
How to lose weight even in diet?,Weight Loss,lose,weight
How i feel better when i was sick ,General Problems,sick,sick
how can i gain our weight and any nutrition food or particular food for weight gaining,Weight Gain,gain,weight
What Kind of food shall me Take to be healthy ?,Diet and Food,food,food
I have snoring problem how could I control it,General Problems,snorinng,snoring
sir I have a problem in my skin. mere thumb ki skin automatically       ,Skin,skin,skin
what food we have to take for health,Diet and Food,food,food
anulom bilom is a best and lovely yoga,Gym,yoga,yoga
sir hairs white ho rahe h .. koi treatment h ya kuch jis se ki black ho sake,Hair Treatment,hairs,hairs
inragoral period in one month two time why? pls tell me.,Sexual Problem,period,period
sar Ian not Abel to say in health pi's help,General Problems,health,health
anulom bilom is a very lovely yoga,Gym,yoga,yoga
my mouth is smell what can i do?i dailly brush 2 times morning and evening,General Problems,smell,smell
how to get quality sleep in less time? ,General Problems,sleep,sleep
how to increase our physical fitness ,Gym,physical,fitness
What is the solution for sore throat? ,"Ear, Nose and Throat",throat,throat
"i am 20 years old boy but my weight is so low and body growth is at low process.
Tell me what should i do to grow up my body....",Weight Gain,body,growth
what we can do for migrane problem any sort of measures will be appriciatable,Headache,migraine,migraine
"ungleyo may pain kes vjah say hota h 
",Body Pain,pain,pain
is that dangerous to eat oily foods who is having high BP????,Blood Related,BP,BP
I am suffering from fever help me.,Cold,fever,fever
How do I gain weight? my weight is too low for my age. I am 21 years old and I am 47kgs. My appetite is too low. I get full when I eat little. I can't eat more. What is wrong with me?,Weight Gain,gain,weight
how to fix slip disk problem at l5 s1,Critical,slip disk,slip disk
How Can i Make my hair more healthy???,Hair Treatment,hair,hair
How Can I Get a Fit N Healty Body ,Gym,fit,fit
"i ll do my workout i get body pain 
what will i do get relief form body pain",Gym,workout,workout
iam not becomong fit body why??,Gym,fit,fit
what is the benefit of fitness?,Gym,fitness,fitness
I am suffering with gas problem please help me?,"Stomach, Kidney and Liver",gas,gas
"how to gain my wait
i want to gain",Weight Gain,gain,weight
"How can I decrease my fat level?
",Weight Loss,decrease,fat
what can I do for build up my weight?,Weight Gain,build,weight
my legs getting pain while sitting with in a short time,Body Pain,pain,pain
"how can decrage my fat ? 
kya karu bataiye",Weight Loss,decrease,fat
how to control  fever plese help ,Cold,fever,fever
My headache rising at 2:00 pm dailay ..what should i do,Headache,headache,headache
What is iron tablet nd how it works in human body???,Diet and Food,iron,iron
"about squint eyes how to treat them
",Eyes,eyes,eyes
"hey, whenever I have fever or headache I start seeing blurry. do some one knows about it. ",Headache,fever,headache
my gums are bleeding while brushing.please advice me the remedy.,Dental,gums,gums
how to make my skin more brighter?,Skin,skin,brighter
"what is the symptoms of milk allergy?
",Skin,allergy,allergy
how to build the body answer me shortly,Gym,build,body
how to control. sleep and fitness...  I don't do any hardwork but am tired.  am very feel lazy. what can I do? ,Stress and Anxiety,tired,tired
How to make a lean abs or body ?,Gym,abs,abs
"how to improve beautiful hair?
",Hair Treatment,hair,hair
how i can do for increasing my fat??,Weight Gain,increasing ,fat
I'm continuing gym previous 4 months ago... but no improve I can found in my body.!can I know the reason sir ?,gym,gym,abs
how many times in a Day doing masturbation?,Sexual Problem,masturbation,masturbation
please tellme how to gain weight??,Weight Gain,build,weight
"why are  rashes in our skin????
",Skin,rashes,skin
"smoking is really bad for health
",Lungs and Smoking,smoking,smoking
How to do safe sex without useing condam?,Sexual Problem,sex,condom
I have acne on my face from past 2 year and I consulted two doctors but no result found and now I am using patanjali aleo Vera gel than also no result on my face please give me a solution to decrease my acne and have a clear face. ,Skin,acne,acnes
headache very much during potty,Headache,headache,headache
"please say to me why do i feet our body..
please say to me",General Problems,smell,snoring
"what i can my body solid.
please reply me please
",Gym,body,body
i am getting stomach pain when lift some weight  why? ,"Stomach, Kidney and Liver",stomach,pain
i have head ache after workout why? and what should i do,Headache,headache,ache
how can I decrease belly fat without going to gym,Weight Loss,decrease,belly
what is the procedure and foods for developing body ?,Diet and Food,foods,foods
How can i loose weight and control mt diet,Weight Loss,loose,weight
what is best medicine in cold ,Cold,cold,cold
How can i loose my weight in one month,Weight Loss,loose,weight
My eye sight is very weak what I do? ,Eyes,eye,sight
i have some fever from tomorrow?,Cold,fever,fever
i have gas trable whenever junk food,"Stomach, Kidney and Liver",gas,gas
"I am 29, I want to gain weight",Weight Gain,gain,weight
what is best medicine for back pain?,Body Pain,back,pain
What to do when too much headache?,Headache,headache,headache
what to do when their is a too much headach,Headache,headache,headache
which saplement use during gym for good health? ,Gym,gym,gym
how can u be energetic allthrough day,General Problems,energetic,energetic
what are the symptoms of diarrhoea,"Stomach, Kidney and Liver",diarrhoea,diarrhoea
how take a ecp dose to avoid pregnancy because of unprotected sex?,Sexual Problem,pregnancy,sex
How to reduce headache when you working behind computer? ,Headache,headache,headache
which saplement use during gym for good health,Gym,gym,gym
"what is arthritis??
how can it be cured?","Ear, Nose and Throat",arthritis,arthritis
what should we eat after the gyming session ? ,Diet and Food,eat,eat
"How can I gain my health, i am so thin, ",Weight Gain,gain,thin
how to decrease my wait bcoz i' m too fat,Weight Loss,decrease,wait
half head ache. what to do??? ,Headache,head,ache
how to clean teeth without toothbrush and dentalist . by natural and artificial method,Dental,gums,dentist
"headache problem,my head pains every week, why it's so?",Headache,headache,pain
what to do for stay always healthy ?,General Problems,healthy,healthy
how to remove dark circles of eye?,Eyes,eye,eye
"How to gain weight in one month
",Weight Gain,gain,weight
problem in my gums. how can I get relief by this problem ,Dental,gums,dentist
"i am suffering from fever..how can I reduce this 

",Cold,fever,fever
I wanna loose My weight. it's growing very fast. what should I do for it???,Weight Loss,loose,weight
what is meant by body mass index,General Problems,mass index,mass index
sir i have an skin sweating problem what is the solution to solve the problem,Skin,sweating,sweating
Sir beard growth which oil is great,Hair Treatment,beard,growth
which food is better for my eye,Eyes,eye,eye
"How to loose fat? 
",Weight Loss,loose,fat
Does masturbating results in hairfall ?,Hair Treatment,hairfall,hairfall
what is meant by body mass index,General Problems,mass index,mass index
what is the exercize for right back pain?,Body Pain,back,pain
what are the exercise for knee pain?,Body Pain,knee,knee
what is Technology in Health care,General Problems,health,health
how can Slovenia teeth problem?,Dental,teeth,teeth
What are the foods we need to earn stamina?,Gym,stamina,stamina
how to leave smocking any tips,Lungs and Smoking,smoking,smoking
how to clean teeth yellow to white,Dental,teeth,yellow
