Predicted,Classes,New Predicted,question_description,
Cold,Cold,Cold,I am almost 30 years old I have cough,
Weight Loss,Weight Loss,Weight Loss,How to lose belly fat ???????????????????????????,
Height,Height,Height,I am 18 and my height is 5.5feet. I need to increase my height. Anyone help me,
Weight Gain,Weight Gain,Weight Gain,"how to gain weight
????????????????????????????",
Weight Loss,Weight Loss,Weight Loss,How to reduce belly fat and how to increase stamina,
Sexual Problem,Sexual Problem,Sexual Problem,while doing sex penis get hurt ,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,how to control my self to not to smoke?,
Sexual Problem,Sexual Problem,Others,How to treat Oral leucoplakia? ,
Body Pain,Body Pain,Body Pain,how to control pain that I am having in my knees,
Body Pain,Body Pain,Body Pain,how to cure joint pain on knees,
Weight Gain,Gym,Gym,how to increase our stamina and become powerful,
Weight Gain,Gym,Gym,how to increase biceps muscles?,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",my digestion system is very fast,
Body Pain,Body Pain,Body Pain,how to decline pain in your  hand,
Diet and Food,Diet and Food,Diet and Food,which fruit is the useful for ud,
Cold,Cold,Cold,how to control cold which is continuing for a long period.,
Body Pain,Body Pain,Body Pain,how to cure joint pain in knees,
Weight Loss,Weight Loss,Weight Loss,Natural way to lose body weight,
Sexual Problem,Sexual Problem,Sexual Problem,I don't back swipe my skin on penis ,
Others,Sexual Problem,Skin,what are the causes and treatment of white discharge,
Skin,Skin,Others,"I have vitiligo on my lips , how it can be cured fast",
Skin,Skin,Skin,"how to avoid acne and become White 

",
Weight Gain,Gym,Others,How can I gain my stamina and energy...?  ,
Height,Height,Height,What is the normal weight of height of 5feet8inches for males,
Sexual Problem,Sexual Problem,Sexual Problem,how to overcome itching near testis,
Weight Loss,Weight Loss,Weight Loss,how to lose weight? Stamina increase,
Diabetes,Diabetes,Diabetes,how we decrease our sugar level,
Blood Related,Blood Related,Blood Related,how I decrease my blood pressure,
Diet and Food,Diet and Food,Diet and Food,"what should I eat for my good healthy diet ?

",
Others,Others,Others,pav ikhta nahi hota hai kiya kare ,
Skin,Skin,Skin,I have dark circles how to remove it.,
Others,Others,Others,আমি খুব পাতলা। আমার ওজন খুব কম। আমার ওজন বৃদ্ধি করব কিভাবে? ,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",my ear discharge have been since long time,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,How can I increase concentration ,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,how can I increase concentration?,
Diet and Food,Diet and Food,Diet and Food,how can we achieve a good healthy body by not taking any diets,
Hair Treatment,Hair Treatment,Hair Treatment,"how to grow your hair within span of 1 month 
",
Hair Treatment,Hair Treatment,Hair Treatment,how can I reduce my dandruff...?,
General Problems,Height,Height,can u pls give tips to grow taller,
Weight Loss,Weight Gain,Weight Loss," my body is very thin how my body is fat 
",
Sexual Problem,Sexual Problem,Sexual Problem,is there any problem with heart palpitations during delivery time in pregnancy?,
Hair Treatment,Hair Treatment,Hair Treatment,which shampoo will not reduce my hairfall??,
Weight Gain,Weight Gain,Weight Gain,my weight is 45 kg and my height is 5 ft 9 inches how can I put on weight???,
Weight Loss,Weight Loss,Weight Loss,My weight is 90 kg and my height is only 5'6 how can I lose some weight,
Sexual Problem,Sexual Problem,Sexual Problem,What's the medication or treatment for penis enlargement? ,
Weight Gain,Weight Gain,Weight Gain,what is diet chart to gain weight for boys ?,
Critical,Critical,"Ear, Nose and Throat",What's the treatment for wart? ,
Weight Loss,Diet and Food,Weight Loss,"what is diet chart of our body.. if67 kg weight 
",
Others,Others,Others,हमारा दिमाग डिप्रेसन में न आये इसके लिये क्या करें?,
General Problems,General Problems,General Problems,what's the routine of early morning,
Skin,Skin,Skin,what to do to solve acne problems?,
Gym,Diet and Food,Gym,Which fruit will help to build strong muscle?? ,
Others,Others,Others,मेरे खुन जांच मे माञा 8. लगभग आई।  खुन बढाने का उपाय बताए?,
Skin,Skin,Skin,how to clear our face from pimples?,
Skin,Skin,Skin,skin of my face is dry what should I do??,
Lungs and Smoking,"Ear, Nose and Throat","Ear, Nose and Throat",what is treatment for asthma??,
Skin,Skin,Skin,"how do I make my skin glow naturally? I'm 21 years of age
",
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver","what is to cure digestive system
?",
Hair Treatment,Hair Treatment,Hair Treatment,is minoxydyl is good for beard growth?,
Skin,Skin,Skin,my skin is oily and full of acne and black spots. which is the best creme and face wash for it.,
Skin,Skin,Skin,what is the cream for dry skin,
Cold,Cold,Cold,what is medicine for cold fever,
Skin,Skin,Skin,Skin peeling off from my palm. What should I do?,
Weight Loss,Weight Loss,Weight Loss,how I loss my weight 5kg in 1week?,
Skin,Skin,Skin,my problem is with my skin day by day my skin is becoming tan and darker day by day what I have to do reduce this,
Weight Loss,Weight Loss,Weight Loss,I Morava Sharma I have 100 kg weight how I reduce it,
Cold,Cold,Cold,How to cure my fever at home readymade,
Weight Gain,Weight Gain,Weight Gain,Iam rahul how I will get weight ,
Gym,Gym,Gym,my name is Avinash....which is better for your body and why yoga or Pilates?,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",hi sir my son having digestion problem how to clear sir he is 13 years sir,
Body Pain,Body Pain,Body Pain,my wife have feet pain. Feet finger is heavy pain ..please resolve my problem. She is 35 year old..,
Skin,Skin,Skin,Iam Raghavendra My Mom Has Skin Allergy how To Cure It,
Others,"Stomach, Kidney and Liver","Stomach, Kidney and Liver","how to remove kidney stone in natural
",
Weight Gain,Weight Gain,Weight Gain,"I'm 25 years old and my weight 60 kg , how to I gain more weight ?",
Weight Gain,Weight Gain,Weight Gain,I am parag 19 year old . how can I gain weight?,
Weight Gain,Weight Gain,Weight Gain,what to do to gain weight without eating any supplements and powder?,
General Problems,General Problems,General Problems,I have  hadch  every  day  what  I should  do  ,
Weight Gain,Weight Gain,Weight Gain,I m 16Year  boy  I have  only 30kg weight  how I can grow  it ,
Weight Loss,Weight Loss,Weight Loss,"I'm 19 years  and my weight is 54.5kg
how can I lose my weight?",
Cold,Cold,Cold,How to cure cold from home remedies?  ,
Weight Gain,Weight Gain,Weight Gain,What are the different ways to gain weight?,
General Problems,General Problems,General Problems,“What outcome should I expect?”,
Dental,Dental,Dental,I have cavity in my teeth which paste is best for it? ,
Hair Treatment,Hair Treatment,Hair Treatment,I am 23 Year old girl and I am suffering from excess hair loss I used many homeopathic and allopathic medicine but the result is same. please suggest me a better medicine for totally cure my hair loss problem,
Hair Treatment,Hair Treatment,Hair Treatment,what shampoo can I  use to control hairfall,
Others,Skin,Skin,"removal of pimples on facethdjchffhfiigdkuscod""¥/",
Stress and Anxiety,General Problems,General Problems,"Irregular mc, how to overcome? ",
Gym,Gym,General Problems,how to be fit without medical health checkups,
Body Pain,Body Pain,Body Pain,What I doing for less back pain,
Gym,Gym,Gym,"what can I do to keep myself fit.
",
Others,Others,Others,কেনসার এর লক্ষন গুলি কী কী?,
Skin,Skin,Skin,how to remove my ache from my face?,
Headache,Hair Treatment,Hair Treatment,how to get new hairs in head ? I want to know that can we get good quality hairs by any therapy?,
Others,Eyes,Eyes,how can I protect my eyes from using mobile ,
Sexual Problem,Sexual Problem,Sexual Problem,what is the baby weight in 7th month pregnancy,
General Problems,General Problems,General Problems,"any product can be use as anti ageing..,?",
General Problems,General Problems,Others,tell me the solution for pigmentation..??,
Weight Gain,Weight Gain,Weight Gain,I want to gain my weight so please tell me how to gain my weight?,
Skin,Skin,Skin,how to remove the pimple from the skin .?,
Diabetes,Diabetes,Diabetes,"are there types of diabetes?
can you tell me in detail the types of diabetes?
and how the treatment differs?",
Weight Loss,Weight Loss,Diet and Food,Does very less consumption of food leads to weigh loss?,
Skin,Skin,Skin,"how to remove my body darkcracal
",
Skin,Skin,Skin,how to remove the pimple s from the skin.,
Height,Height,Height, how to increase height in age of 20?,
Skin,Skin,Skin,suffering from vitiligo? need help,
Hair Treatment,Hair Treatment,Hair Treatment,my hair is white at the age of 16 years why ,
Gym,Gym,Gym,how to increase stamina   of running   in sprint races   please   suggest ,
Headache,Headache,Headache,what is the symptoms of migraine ,
Skin,Skin,Skin,my age 18 my face full blackspot,
Skin,Skin,Skin,what is the best beauty treatment for faces,
Skin,Skin,Skin,Pimple clear tips my face and my body full white tips pleased ,
Weight Gain,Weight Gain,Weight Gain,How can I gain my body weight?,
Skin,Skin,Skin,"I am 20years of age and my face fully covered by some blackspot
please suggest me how can I remove those blackspot?",
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver","what are the major steps taken for curing fatty liver?

at present it is at grade 1",
Gym,General Problems,Gym,how can be make our body fit and healthy,
Cold,Cold,Others,"fever tablet with mg for 4 yr child
",
Others,Body Pain,Others,I m facing some back problems from last four days...what should I do get cure of it.. ,
Diet and Food,Diet and Food,Diet and Food,I have a one year baby girl and she doesn't like to eat anything. What should I do?,
Gym,Gym,Gym,what are the top exercises to keep our body mentally and physically fit,
Gym,Gym,Gym,What r the Exercises we need to do daily to do daily to keep us fit,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",cure for frequent urination in day??,
Eyes,Eyes,Eyes,"what can do improve eye power? 
",
Headache,Headache,Headache,What is the symptoms of migraine ?,
Critical,Critical,Critical,"what is the causes of cancer?
",
Headache,Headache,Headache,why I am getting a lot of head ache?,
Hair Treatment,Hair Treatment,Hair Treatment,How To control hair fall in mens,
General Problems,General Problems,General Problems,"why I am getting bad smell from me
",
Cold,Cold,Cold,what should I do when someone is suffering from height fever??,
General Problems,General Problems,General Problems,"what was suggestion for health and   
eye protection ?
",
General Problems,General Problems,General Problems,what is the best solution to be a better body,
Cold,Cold,Cold,what are the symptoms of malaria..?,
Weight Loss,Weight Loss,Weight Loss,how to reduce weight ? home remedies,
Hair Treatment,Hair Treatment,Hair Treatment,"How to control hair fall, and which oil should use for that?",
Skin,Skin,Skin,how to remove pimples permanently?,
Headache,Headache,Headache,what is the reason of headache daily in the morning?,
Hair Treatment,Hair Treatment,Hair Treatment,how to control hair fall and what diet should be followed ,
General Problems,General Problems,General Problems,what should be utilized to grow healthy?,
Diet and Food,Diet and Food,Diet and Food,"What is the diet of a healthy man, and what should  take, like dishes, and about  fat?",
Dental,Dental,Dental,what should we do for the whitening of teeth?,
Diet and Food,Diet and Food,Diet and Food,"which food is for the boys health.
",
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,what is the best option to reduce my weakness?,
General Problems,Gym,Gym,what is the best solution to grow my body ?,
Body Pain,Body Pain,Body Pain,I have done de addiction from hospital but having lots of pain in lower legs and forearms what to do please help me,
Sexual Problem,Sexual Problem,Sexual Problem,"Do masturbation will leads to infertility
",
Gym,Gym,Gym,which exercise must be do a  young boy in morning?,
Diet and Food,Diet and Food,Diet and Food,which fruit is good for a old man,
Dental,Dental,Dental,"what is exodontia
what is teeth whitening",
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver","how to improve the function of liver?
due to more alcohol my liver gets affected.
my bilirubin level is not in the normal range for more than 1 year.
what to do for making my level in normal range",
Hair Treatment,Hair Treatment,Hair Treatment,what is the reason for hair loss,
Body Pain,Body Pain,Body Pain,I have neck pain. What I do pls help?,
Critical,Critical,Critical,"what is treatment of 
dust energy in ayurveda",
Weight Gain,Weight Gain,Weight Gain,how to gain weight ? home remedies,
Dental,Dental,Dental,I have mouth ulcer many times in a months what medicine I am taking ,
General Problems,General Problems,Others,I feel heart ache sometimes nd my age is just 18een,
Diabetes,Diabetes,Diabetes,what is the best option to control diabetes?,
Others,Skin,Others,"Apne cheek se pimple kesse batae
Kuch ilaj h iska",
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",how to treatment of throat infection ,
Hair Treatment,Hair Treatment,Hair Treatment,how to stop hair fall and regain hair loss?,
General Problems,Dental,Dental,how to remove mouth smell at early morning...?,
Sexual Problem,Sexual Problem,Sexual Problem,"Hi sir,
what are the initially  symptoms of getting  pregnant? ",
Others,Others,Others,डेंगू होने पर क्‌या करना चाहिये?,
Others,Others,Others,daan men Dard ho Raha hai doctor kaunsa achha hai,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver","hello sir it's nonu
there is a certain heaviness in my tummy area??  I feel if there is any swelling. But constipation is not there.. please tell what kind of disease I am suffering from?? ",
Weight Loss,Weight Loss,Weight Loss,"sir , how to reduce belly fat ?
",
Diet and Food,Diet and Food,Diet and Food,what type of food we have to eat three times a day can you answer me ?,
Gym,Gym,Gym,Is running helpful in morning time?,
Gym,Gym,Gym,how many hours should I do jogging,
Gym,Gym,Gym,is running help full in morning time,
Body Pain,Body Pain,Body Pain,I feel heart ache n back pain when I lie on my back on bed...what might be the problem?,
"Ear, Nose and Throat","Ear, Nose and Throat","Ear, Nose and Throat",why nose bleeds in heavy heat ?,
Others,"Ear, Nose and Throat",Others,what are the causes of breathlessness?,
Dental,Dental,Blood Related,my teeth outside blood bleeding,
General Problems,Critical,Others,What does heart failure mean? ,
Skin,Skin,Skin,Why we need to protect our skin ,
Body Pain,Body Pain,Body Pain,what are the causes of neck pain..I am suffering from neck pain after 3months ago.,
Headache,Others,Headache,"
which medicine take when headache going on",
Hair Treatment,Hair Treatment,Hair Treatment,"my hair is totally white ,any solution which became black",
General Problems,General Problems,General Problems,How to Get rid of Chicken Pox?,
General Problems,General Problems,General Problems,what is the best thing for body in winter?,
Skin,Skin,Skin,what is the best thing for face beauty?,
Body Pain,Body Pain,Body Pain,why our bones sound while we mud it from knee,
Weight Gain,Weight Gain,Weight Gain,How I can weight my weight is only 38 and I am 22 year old ,
Diet and Food,Gym,Gym,which is the best time for workout men?,
Weight Gain,Weight Gain,Weight Gain,I am 19 year old my weight 45 kg ... please tell me food names for weight gain ,
Hair Treatment,Hair Treatment,Hair Treatment,how to growth bread fastly gain,
Weight Gain,Weight Gain,Weight Gain,sir how to increase my weight?,
Eyes,Eyes,Eyes,"one of my eye is very week, please tell me the solution.",
Diet and Food,Diet and Food,Diet and Food,hello sir please suggest me a good diet for workout.,
Eyes,Eyes,Eyes,I have a week eye sight. I'm just 19 year old please tell me the solution.,
Others,General Problems,General Problems,ayurvedic medicine for divitise,
Others,Others,Others,mujhe khana nhi khaya jata ! what can I do?,
Weight Gain,Weight Gain,Weight Gain,how can I gain weight in 1 yr something 5 kg ????,
Weight Loss,Weight Loss,Weight Loss,"sir I want to reduce my weight. so what can I do?
",
Hair Treatment,Hair Treatment,Hair Treatment,Sir mere hair what ho rhe h kux upay btavo,
Hair Treatment,Hair Treatment,Hair Treatment,my hair is white.. how can solve it,
Gym,Gym,Gym,how can improve my running stamina,
Weight Gain,Weight Gain,Weight Gain,Sir l want to increase my weight. So what what can I do? ,
Eyes,Eyes,Eyes,I have under eye dark circles so how to remove dark circles ?,
Skin,Skin,Skin,Why we get cholera so easily even though  we wash? ,
General Problems,General Problems,General Problems,what is the treatment for footballer ,
Skin,Skin,Skin,how to remove White pipe our faces,
Weight Loss,Weight Loss,Weight Loss,"My question is how to loss the weight
",
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,"Hlo sir l suffer from disease of memory lose and depression so you tell me what I can do? 
",
General Problems,General Problems,General Problems,how much water we should drink in a day?,
Skin,Skin,Skin,how to remove black spots on face,
Hair Treatment,Hair Treatment,Hair Treatment,I have beard loss problem how care the beard,
Diet and Food,Gym,Gym,To get the fitness which type of food time table will be followed,
Hair Treatment,Hair Treatment,Hair Treatment,what should to do for hair fall?,
Skin,Skin,Skin,hello  I  have  skin problem. When I take  medicine it over.and it  come again when  course is over.,
General Problems,General Problems,General Problems,how much hours of sleep is required for good health,
Skin,Skin,Skin,Can I get fair look?  my skin colour  is tane,
Skin,Skin,Skin,Can I get fair look ? my skin colour is tan  ,
Others,Diet and Food,Diet and Food,After six months baby which feed him. ,
Headache,Headache,Headache,how we overcome from headache ,
Others,Diet and Food,Others,when I see cholkpice or slate pencil I get feeling to eat that. my friend told me that I have calcium deficiency. and I took calcium tablets as suggested by a doctor. I didn't get any results. can any one help me out from this problem,
Hair Treatment,Hair Treatment,Hair Treatment,what's the treatment on hair falling,
Hair Treatment,Hair Treatment,Hair Treatment,what's the treatment on hair fall,
Hair Treatment,Hair Treatment,Hair Treatment,what is the treatment of hairfall,
Others,"Stomach, Kidney and Liver","Stomach, Kidney and Liver",how we can overcome from digestive problems,
Hair Treatment,Hair Treatment,Hair Treatment,What is the treatment of dandruff? ,
Hair Treatment,Hair Treatment,Hair Treatment,how can I grow my beard easily ??,
Weight Loss,Weight Loss,Weight Loss,how to reduce a stomach fat within one month?,
Gym,Gym,Gym,how to maintain fitter our body,
Gym,Gym,Gym,How to maintain fitness our body,
Height,Height,Height,"how to increase my height 
my height Is4.5",
Gym,Gym,Gym,what is the best abs building exercise,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",am eating a food after 1 hours am going to a toilet I can't control my stomach.. why?????????????? how could I stop it and what a reason for that?.... ????????????...,
General Problems,General Problems,General Problems,how much glass of water one should drink in a day,
Gym,Gym,Gym,"what is the best abs building exercise ?
",
General Problems,General Problems,General Problems,I am 17 years old.Upto how much hours I need to sleep to stay healthy?,
Skin,Skin,Skin,how can I bright my skin colour ?,
Skin,Skin,Skin,how we will reduce the pimples in face...,
Others,Stress and Anxiety,General Problems,I m a narrow minded boy. I m keeps in tension all the day . I m keep in nervousness all the day . how to become a self confident boy  from a lose confident boy ?,
Height,Height,Height,Hello I am 17yrs old and my height 5 f 8 inch I want to increase my height ,
Height,Height,Height,I am 18 year old my height is 4.0 inch how I can get good height,
Dental,Dental,Dental,how can teeth problem Slovenia?,
General Problems,General Problems,General Problems,how to increase my health??please tell me??,
Height,Height,Height,I am 18 year old. my height 5.6 . I want change my height .please help me.,
Height,Height,Height,"how to increase my height ?
my age is 19 and my height is 5'4""",
Weight Loss,Weight Loss,Weight Loss,Hello My Name is Uvais Alitha my How to lose my weight,
Gym,Gym,Gym,"how to maintain fitness our body
",
Weight Gain,Weight Gain,Weight Gain,I am 17 year old and my weight is 40kg I want to increase my weight,
Weight Gain,Weight Gain,Weight Gain,I am 17 my weight is 50kg I want to gain weight .?,
Body Pain,Body Pain,Body Pain,I m 22 years old I got back pain,
Height,Height,Height,"I am 18 year old ,my height is 5'9"" how to get good height?",
Weight Gain,Weight Gain,Weight Gain,"sir my age is 15 my weight is 35 what I do to grain my weight 
",
Others,Others,Others,"सर मेरी माँ को रात को सोते समय बहुत खांसी आती हैं 
",
Weight Gain,Weight Gain,Weight Gain,sir my age is 17 my weight is 35 kg tell me what to do to grow my weight ,
Height,Height,Height,"I am 22 years old but my height  is only 5'3"".
Tell me some helpful idea to increase my height in right way.
          Please",
General Problems,Skin,Skin,my age is 18 but I have a pimples problem,
Critical,Critical,Critical,which problems causes cancer ?,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver","Right side pain of Abdomen when I run, why? ",
Weight Loss,Weight Loss,Weight Loss,my age is 25. how can I lose my belly fat?,
Others,Others,Others,मेरे सर के बाल ञपने आप झड़ जाता है। इसे कैसे रोका जा सकता हौ?,
Weight Gain,Weight Gain,Weight Gain,how to gain weight IF IAM 17 YEAR OLD ,
Others,Headache,"Stomach, Kidney and Liver",how to solve this problem for headaches ,
Height,Height,Height,my age is 19years but height is 5'3 so how is increase the height,
Skin,Skin,Skin,Panderm plus cream is harmful for face? ,
Weight Loss,Weight Loss,Weight Loss,My weight is 50 should I lose it How to lose weight ,
Sexual Problem,Sexual Problem,Sexual Problem,how to control the caff within short period,
Lungs and Smoking,Lungs and Smoking,Lungs and Smoking,What is the effect of smoking ,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",What precaution should be taken after 3 years of Gall Stone operation,
Others,Critical,Critical,how many weeks for last stage of psoriasis,
Hair Treatment,Hair Treatment,Hair Treatment,"my hair has been fully covered with dandruff, so what precautions did I take for cure.
",
Weight Loss,Weight Loss,Weight Loss,how to lose weight by diet? What to eat and when?,
Weight Gain,Weight Gain,Weight Gain,how can I get 10kg weight in a week?,
Weight Loss,Weight Loss,Weight Loss,"my weight is 75kg so what should I prefer to lose it
",
General Problems,General Problems,General Problems,how much I need to drink water if my weight is 60kg??,
Hair Treatment,Hair Treatment,Hair Treatment,my hairs are becoming white and I have hair fall please give me some tips to overcome this problem,
Gym,Gym,General Problems,explain the method grow mussels ,
Eyes,Eyes,Eyes,how to increase my eye sight naturally at home,
Gym,Gym,Gym,explain the way to grow muscles,
General Problems,General Problems,Gym,How to make body active and aware? ,
Hair Treatment,Hair Treatment,Hair Treatment,how to reduce hair fall with home remedies???,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,Felling tensed... what I should do? ,
Weight Loss,General Problems,Others,how to reduce the calf from home redies?,
General Problems,General Problems,General Problems,Feeling like vomiting...what I should do? ,
General Problems,General Problems,General Problems,what is the best thing to protect against bacteria,
Skin,Skin,Skin,How to make our face glow by eating different food?,
Gym,Gym,Gym,How to build muscles with vegetarian food?,
Gym,Gym,Gym,which important fact of fitness,
Diet and Food,Gym,Diet and Food,What to eat to build muscles ?,
General Problems,General Problems,General Problems,Way should we need to drink when we are thirsty ,
Diet and Food,Diet and Food,Diet and Food,How much nuts we should eat daily ,
General Problems,General Problems,General Problems,How much water we need to drink daily,
Diet and Food,Diet and Food,Diet and Food,How we can get good nutrition from raw vegetables ,
General Problems,Diet and Food,General Problems,Is it ok if I drink black coffee daily 2 times ,
Others,Diet and Food,Others,"What is the most rich of zinc foods
",
Hair Treatment,Hair Treatment,Hair Treatment,how to decrease hair fall quickly?,
Others,Others,Others,ମାଇ ବ୍ଲଡ ପ୍ରେସ୍ସେର୍ 345. ବ୍ହତ୍ ଇସ ସାଲ୍ଵ?,
General Problems,General Problems,General Problems,How to maintain a good health,
Weight Gain,Weight Gain,Weight Gain,how I can gain weight? what is diet for this?,
Eyes,Eyes,Eyes,how to get good eye sight naturally,
Height,Height,Height,How to increase height after 18 years?,
Diet and Food,Diet and Food,Diet and Food,Is drinking water after eating food harmful??,
Hair Treatment,Hair Treatment,Hair Treatment,how to decrease hair fall quickly ?,
Gym,Gym,Gym,why jogging is more important than food?,
Hair Treatment,Hair Treatment,Hair Treatment,How to get rid of falling hair,
Weight Loss,Weight Loss,Weight Loss,how to decrease your weight without going to  gym?????,
Gym,Gym,Gym,How to maintain a good physique ?,
Weight Loss,Weight Loss,Weight Loss,"How to lose weight at home, without going to gym ?",
General Problems,General Problems,General Problems,why sleep is more important than food?,
Others,Others,Others,mera weight bahut km h weight barhane ke liye keya krna hoga,
Others,Others,Others,keya khaye jisse weight barhega,
Blood Related,Critical,Critical,what is medicine for blood cancer?,
Weight Loss,Weight Loss,Weight Loss,"how to lose fat in over body
",
Weight Loss,Weight Loss,Weight Loss,how to loss weight without going gym?,
Dental,Dental,Dental,how can teeth problem Slovenia?,
Hair Treatment,Hair Treatment,Hair Treatment,how to remove the dandruff hair,
Dental,"Stomach, Kidney and Liver",Dental,what are the preventions the ulcer,
Body Pain,Body Pain,Body Pain,"I have pain in my left ankle from a long time, what to do?",
Sexual Problem,Sexual Problem,Sexual Problem,how to reduces my weight after pregnancy?,
Body Pain,Body Pain,Body Pain,I have a problem of back pain.,
Gym,Gym,Gym,my question is what can I do for fitness ?,
Hair Treatment,Hair Treatment,Hair Treatment,How can we stop hair falling?? ,
Others,Dental,Others,what are the preventions for ulcers.?????,
Hair Treatment,Hair Treatment,Hair Treatment,how to stop hair fall problem and dandruff,
Dental,Dental,Dental,teeth problem what I do ??? suggest me,
Stress and Anxiety,Eyes,Eyes,#eyes weakness #give_suggestion?,
Hair Treatment,Hair Treatment,Hair Treatment,How to grow dense beard on  face of teenage.? ,
Hair Treatment,Hair Treatment,Hair Treatment,"white  hair problem 
please  tell 
perfect diting",
Weight Loss,Weight Loss,Weight Loss,"I want loss weight can u help me with the diet?


",
Headache,Headache,Headache,having headache during daytimes,
Hair Treatment,Hair Treatment,Hair Treatment,"My hairs are falling, how to stop my hairfall",
Height,Height,Height,what is the way to increase the height?,
Headache,Headache,Headache,"what we do we have suffering from headache
",
Hair Treatment,Hair Treatment,Hair Treatment,may hair to falling. How to stop hair fall,
Hair Treatment,Hair Treatment,Hair Treatment,my hair is falling so badly.....,
Headache,Headache,Headache,l am getting harted by regular headache on the back side of head,
Hair Treatment,Hair Treatment,Hair Treatment,My hair is falling so badly...,
Hair Treatment,Hair Treatment,Hair Treatment,I get irritation in hair and also some boils are there on my head,
Skin,Skin,Skin,how can we protect our face against pimples?,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",Always happen Gas in stomach. pls tell me and suggested any medicine for this problem ,
Weight Gain,Weight Gain,Weight Gain,how can I increase the power of my muscles and increase my weight... I am 18 years old,
Eyes,Eyes,Eyes,my eyesight is so weak so what I have to eat properly for it.,
Blood Related,Blood Related,Blood Related,mouth blood running to five moths before what solution,
General Problems,General Problems,General Problems,How can I increase my brain power,
"Stomach, Kidney and Liver","Stomach, Kidney and Liver","Stomach, Kidney and Liver",I am 23 years old male How to strong my liver ?,
Height,Height,Height,how  can I increase my height ?,
Height,Height,Height,"how to increase height after 19

",
Diet and Food,Diet and Food,Diet and Food,What should I eat to get protein? ,
Skin,Skin,Skin,How do we remove dark circles on skin,
Weight Gain,Weight Gain,Weight Gain,what is the healthy foods to gain weight,
Weight Loss,Weight Loss,Weight Loss,weight loess why problems and solution ,
Stress and Anxiety,Stress and Anxiety,Stress and Anxiety,How can increase my thinking ? ,
Hair Treatment,Hair Treatment,Hair Treatment,How do I avoid hair fall? Suggest some tips ,
Weight Loss,Weight Loss,Weight Loss,How do I lose weight? Suggest some healthy tips ,
Weight Gain,Weight Gain,Weight Gain,"how I supposed to be gain weight healthy?
",
Dental,Dental,Dental,how can teeth problem Slovenia?,
Weight Loss,Weight Loss,Weight Loss,how do I lose belly fat fast?????,
Hair Treatment,Hair Treatment,Hair Treatment,how to get rid of hair permanently on forehead,
Others,Diet and Food,Others,Benefits of green tea in hormonal imbalance,
Skin,Skin,Skin,how to moisturize oily pimple skin? ,
Others,Eyes,Others,What I do for removing my glass ? ,
Height,Height,Height,what exercises should I do to grow height?,
Sexual Problem,Sexual Problem,Sexual Problem,what is the side effect of handjob,
Sexual Problem,Sexual Problem,Sexual Problem,which vaccine is contraindicated in  pregnancy?,
General Problems,General Problems,Others,how to become as youth as the age grows,
Eyes,Eyes,Eyes,how we remove a dark circles on a eye?,
Cold,Cold,Cold, what are the symptoms for common cold ,
Weight Gain,Weight Gain,Weight Gain,I want to gain weight what will I do for this,
Diet and Food,Diet and Food,Diet and Food,What should  I Eat For diet? ,
Others,"Ear, Nose and Throat",Others,what makes my voice is listenable ?,
Diet and Food,Diet and Food,Diet and Food,what should I eat to get protein,
Others,Others,Others,मोटा कैसे होना हैं और सेहत कैसे बनायें।,
Diet and Food,Diet and Food,Diet and Food,what is the healthy food? tell me ,
General Problems,Gym,Others,How can I get muscles ? tell me,
Weight Loss,Weight Loss,Weight Loss,how can I increase my height and lose weight,
Height,Height,Height,How can I get muscle and height?,
Eyes,Eyes,Eyes,sir I am in fabrication works if welding will cause you my eye ,
Dental,Dental,Dental,how can teeth problem solve? Pls tell me.,
General Problems,General Problems,General Problems,Who can be maintain our health ,
Others,Others,Others,"मेरे पैर की अंगुलियो मे सूजन। आगई है।
",
Critical,Critical,Skin,"how can remove the ""anelu"" on foot",
Height,Height,Height,what is a good diet to gain height?,
Gym,Gym,Diet and Food,which is best food to grow muscle,
Diet and Food,Diet and Food,Diet and Food,what eat daily for good health?,
